year,month,day,avg_load
2022,5,21,14001.8
2022,5,22,13041.4
2022,5,23,14109.7
2022,5,24,15590.7
2022,5,25,15422.1
2022,5,26,15051.8
2022,5,27,15055.5
2022,5,28,14851.4
2022,5,29,13996.8
2022,5,30,14901.4
2022,5,31,15082.5
2022,6,1,15023.1
2022,6,2,15065.1
2022,6,3,15206.6
2022,6,4,15161.8
2022,6,5,14213.2
2022,6,6,14200.1
2022,6,7,14105.5
2022,6,8,14497.0
2022,6,9,15078.2
2022,6,10,15418.4
2022,6,11,14729.7
2022,6,12,13814.8
2022,6,13,14688.0
2022,6,14,15202.3
2022,6,15,14944.6
2022,6,16,14129.6
2022,6,17,14299.1
2022,6,18,13698.7
2022,6,19,12824.8
2022,6,20,13196.4
2022,6,21,13393.8
2022,6,22,13738.1
2022,6,23,14228.6
2022,6,24,14526.3
2022,6,25,14125.4
2022,6,26,13450.0
2022,6,27,14574.6
2022,6,28,15062.8
2022,6,29,15213.8
2022,6,30,15045.8
2023,4,1,15612.9
2023,4,2,14341.8
2023,4,3,15241.1
2023,4,4,15776.7
2023,4,5,15536.6
2023,4,6,15946.2
2023,4,7,16133.8
2023,4,8,15989.4
2023,4,9,14802.1
2023,4,10,15904.6
2023,4,11,16420.4
2023,4,12,16496.4
2023,4,13,16718.9
2023,4,14,15992.0
2023,4,15,16308.3
2023,4,16,15489.1
2023,4,17,16600.6
2023,4,18,17139.0
2023,4,19,17475.1
2023,4,20,17795.5
2023,4,21,17387.1
2023,4,22,16764.0
2023,4,23,14661.5
2023,4,24,15384.5
2023,4,25,15816.4
2023,4,26,15803.4
2023,4,27,16052.1
2023,4,28,16115.9
2023,4,29,15831.5
2023,4,30,14268.6
2023,5,1,12713.3
2023,5,2,12557.7
2023,5,3,13415.1
2023,5,4,13468.0
2023,5,5,13579.6
2023,5,6,13103.9
2023,5,7,11905.0
2023,5,8,12955.8
2023,5,9,13695.5
2023,5,10,14507.4
2023,5,11,14738.5
2023,5,12,15039.9
2023,5,13,15393.3
2023,5,14,14367.4
2023,5,15,15854.0
2023,5,16,16466.4
2023,5,17,16901.0
2023,5,18,16933.8
2023,5,19,16692.4
2023,5,20,16513.8
2023,5,21,15007.7
2023,5,22,15527.0
2023,5,23,15848.8
2023,5,24,15962.8
2023,5,25,16149.0
2023,5,26,15802.8
2023,5,27,15795.0
2023,5,28,14730.4
2023,5,29,15613.7
2023,5,30,15843.6
2023,5,31,15526.6
2023,6,1,15842.8
2023,6,2,16076.2
2023,6,3,16186.5
2023,6,4,14872.8
2023,6,5,15744.3
2023,6,6,15439.5
2023,6,7,16089.4
2023,6,8,15848.6
2023,6,9,15939.4
2023,6,10,15792.1
2023,6,11,14646.7
2023,6,12,15591.3
2023,6,13,15558.1
2023,6,14,15730.4
2023,6,15,16427.5
2023,6,16,16859.8
2023,6,17,15934.2
2023,6,18,14514.1
2023,6,19,13987.5
2023,6,20,14464.9
2023,6,21,14593.5
2023,6,22,15027.2
2023,6,23,15046.4
2023,6,24,15404.8
2023,6,25,14408.0
2023,6,26,15460.5
2023,6,27,15747.4
2023,6,28,15750.4
2023,6,29,15887.4
2023,6,30,15954.1
2024,4,1,16171.2
2024,4,2,16186.6
2024,4,3,14773.0
2024,4,4,15929.5
2024,4,5,16410.4
2024,4,6,16508.2
2024,4,7,16559.3
2024,4,8,16596.0
2024,4,9,16465.8
2024,4,10,15179.4
2024,4,11,16273.2
2024,4,12,16765.8
2024,4,13,17041.1
2024,4,14,17149.6
2024,4,15,17281.7
2024,4,16,17036.9
2024,4,17,15684.5
2024,4,18,16584.2
2024,4,19,17040.6
2024,4,20,17311.6
2024,4,21,17170.0
2024,4,22,17179.8
2024,4,23,17089.7
2024,4,24,15525.7
2024,4,25,15790.4
2024,4,26,16442.5
2024,4,27,16961.8
2024,4,28,17461.4
2024,4,29,17560.7
2024,4,30,17280.8
2024,5,1,17375.2
2024,5,2,18451.2
2024,5,3,18455.2
2024,5,4,18200.5
2024,5,5,16937.8
2024,5,6,18033.5
2024,5,7,18148.0
2024,5,8,17821.9
2024,5,9,17886.5
2024,5,10,17417.7
2024,5,11,17016.5
2024,5,12,15515.9
2024,5,13,16365.0
2024,5,14,16405.8
2024,5,15,16106.8
2024,5,16,15101.6
2024,5,17,14909.6
2024,5,18,14868.8
2024,5,19,13401.4
2024,5,20,13721.2
2024,5,21,14008.2
2024,5,22,14091.1
2024,5,23,14409.8
2024,5,24,14920.3
2024,5,25,14823.8
2024,5,26,13085.2
2024,5,27,14721.1
2024,5,28,16082.2
2024,5,29,16478.5
2024,5,30,17184.3
2024,5,31,17429.9
2024,6,1,16212.1
2024,6,2,14078.7
2024,6,3,14812.2
2024,6,4,16045.7
2024,6,5,15618.2
2024,6,6,14558.6
2024,6,7,13955.0
2024,6,8,13589.9
2024,6,9,12582.1
2024,6,10,13982.5
2024,6,11,15292.5
2024,6,12,15273.3
2024,6,13,15457.7
2024,6,14,15894.2
2024,6,15,15703.3
2024,6,16,15008.9
2024,6,17,16003.0
2024,6,18,15621.8
2024,6,19,15009.7
2024,6,20,15450.6
2024,6,21,15486.4
2024,6,22,15271.4
2024,6,23,13782.6
2024,6,24,14729.8
2024,6,25,15479.9
2024,6,26,15099.0
2024,6,27,15096.5
2024,6,28,15431.3
2024,6,29,16025.7
2024,6,30,14655.4
2025,4,1,17026.7
2025,4,2,17302.2
2025,4,3,16189.1
2025,4,4,15733.9
2025,4,5,15109.6
2025,4,6,14094.5
2025,4,7,15262.7
2025,4,8,16616.8
2025,4,9,16865.7
2025,4,10,17054.5
2025,4,11,16418.5
2025,4,12,15724.3
2025,4,13,15193.3
2025,4,14,15194.5
2025,4,15,15933.5
2025,4,16,16354.4
2025,4,17,16778.7
2025,4,18,16993.1
2025,4,19,16995.9
2025,4,20,16079.3
2025,4,21,17179.2
2025,4,22,17898.7
2025,4,23,17915.0
2025,4,24,18256.0
2025,4,25,18342.7
2025,4,26,18390.3
2025,4,27,16746.4
2025,4,28,17468.8
2025,4,29,18002.6
2025,4,30,17661.9
2025,5,1,16010.6
2025,5,2,16683.4
2025,5,3,16950.7
2025,5,4,15265.3
2025,5,5,15259.5
